Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Invoice Currency Unit
BIS,EPSRC,02/01/2015,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,74580061,160,GBP
BIS,EPSRC,02/01/2015,Fees (Including College Members),Admin External Panel Member payments,Unspecified,74580062,-160,GBP
BIS,EPSRC,02/01/2015,Fees (Including College Members),Admin External Panel Member payments,Unspecified,74580062,160,GBP
BIS,EPSRC,02/01/2015,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,74580062,160,GBP
BIS,EPSRC,02/01/2015,Fees (Including College Members),Admin External Panel Member payments,Unspecified,74580064,-160,GBP
BIS,EPSRC,02/01/2015,Fees (Including College Members),Admin External Panel Member payments,Unspecified,74580064,160,GBP
BIS,EPSRC,02/01/2015,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,74580064,160,GBP
BIS,EPSRC,02/01/2015,Fees (Including College Members),Admin External Panel Member payments,Unspecified,74580066,-160,GBP
BIS,EPSRC,02/01/2015,Fees (Including College Members),Admin External Panel Member payments,Unspecified,74580066,160,GBP
BIS,EPSRC,02/01/2015,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,74580066,160,GBP
BIS,EPSRC,02/01/2015,Fees (Including College Members),Admin External Panel Member payments,Unspecified,74580067,-160,GBP
BIS,EPSRC,02/01/2015,Fees (Including College Members),Admin External Panel Member payments,Unspecified,74580067,160,GBP
BIS,EPSRC,02/01/2015,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,74580067,160,GBP
BIS,EPSRC,02/01/2015,Fees (Including College Members),Admin External Panel Member payments,Unspecified,74580069,-160,GBP
BIS,EPSRC,02/01/2015,Fees (Including College Members),Admin External Panel Member payments,Unspecified,74580069,160,GBP
BIS,EPSRC,02/01/2015,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,74580069,160,GBP
BIS,EPSRC,02/01/2015,Fees (Including College Members),Admin External Panel Member payments,Unspecified,74580071,-160,GBP
BIS,EPSRC,02/01/2015,Fees (Including College Members),Admin External Panel Member payments,Unspecified,74580071,160,GBP
BIS,EPSRC,02/01/2015,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,74580071,160,GBP
BIS,EPSRC,02/01/2015,Fees (Including College Members),Admin External Panel Member payments,Unspecified,74595074,-160,GBP
BIS,EPSRC,02/01/2015,Fees (Including College Members),Admin External Panel Member payments,Unspecified,74595074,160,GBP
BIS,EPSRC,02/01/2015,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,74595074,160,GBP
BIS,EPSRC,02/01/2015,Fees (Including College Members),Admin External Panel Member payments,Unspecified,74595075,-160,GBP
BIS,EPSRC,02/01/2015,Fees (Including College Members),Admin External Panel Member payments,Unspecified,74595075,160,GBP
BIS,EPSRC,02/01/2015,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,74595075,160,GBP
BIS,EPSRC,02/01/2015,Photocopy Costs,JRS,Presco,75635060,165.6,GBP
